Date,Customer Code,House,Flock,Genetic Line Code,#Birds at arrival,hatch date,Date of arrival,Date of removal,Date of deactivation,Veterinarian,Hatchery,Age (Days),Birds Present (#),Birds thinned (#),Mortality (#),Mortality Cum. (#),Cum. Perc. Mortality (%),Liveability (%),Body Weight (g),Uniformity (%),Daily Gain (g),Avg. Daily Gain (g/d),Feed Intake (kg/house),FCR Cum.,Wheat / Bird Cum.,Wheat / Bird,Wheat / Day,Feed Intake / Bird Housed Cum. (kg),Feed Intake / Bird (g),Wheat (g),FCR,Water (l),Water Intake / Bird (ml),Water Intake / Bird Cum. (l),Water : Feed,Water : Feed Cum.,Comment
2016-07-08,A, 1,2016-07,AA,20 500,2016-07-08,2016-07-08,,2016-10-10,,A, 0,20 495,, 5, 5, 0.02, 100.0, 43,, 0, 0,151,,,,, 0.01, 7.4,,, 6.0, 0.3, 0.0, 0.04, 0.04,
2016-07-09,A, 1,2016-07,AA,20 500,2016-07-08,2016-07-08,,2016-10-10,,A, 1,20 477,, 18, 23, 0.11, 99.9, 60,, 17, 17,128, 0.8,,,, 0.01, 6.3,, 0.4, 6.0, 0.3, 0.0, 0.05, 0.04,
2016-07-10,A, 1,2016-07,AA,20 500,2016-07-08,2016-07-08,,2016-10-10,,A, 2,20 438,, 39, 62, 0.30, 99.7,,,,,128,,,,, 0.02, 6.3,,, 11.0, 0.5, 0.0, 0.09, 0.06,
2016-07-11,A, 1,2016-07,AA,20 500,2016-07-08,2016-07-08,,2016-10-10,,A, 3,20 365,, 73, 135, 0.66, 99.3, 80,, 10, 12,160, 0.7,,,, 0.03, 7.9,, 0.8, 20.0, 1.0, 0.0, 0.12, 0.08,
2016-07-12,A, 1,2016-07,AA,20 500,2016-07-08,2016-07-08,,2016-10-10,,A, 4,20 266,, 99, 234, 1.14, 98.9, 100,, 20, 14,446, 0.5,,,, 0.03, 1.1,, 0.1, 32.0, 1.6, 0.0, 1.45, 0.13,
2016-07-13,A, 1,2016-07,AA,20 500,2016-07-08,2016-07-08,,2016-10-10,,A, 5,20 123,, 143, 377, 1.84, 98.2, 120,, 20, 15,624, 0.4,,,, 0.03, 1.5,, 0.1, 43.0, 2.1, 0.0, 1.39, 0.19,
2016-07-14,A, 1,2016-07,AA,20 500,2016-07-08,2016-07-08,,2016-10-10,,A, 6,19 906,, 217, 594, 2.90, 97.1, 145,, 25, 17,677, 0.3,,,, 0.03, 1.7,, 0.1, 55.0, 2.8, 0.0, 1.61, 0.27,
2016-07-15,A, 1,2016-07,AA,20 500,2016-07-08,2016-07-08,,2016-10-10,,A, 7,19 678,, 228, 822, 4.01, 96.0, 175,, 30, 19,807, 0.2,,,, 0.03, 2.1,, 0.1, 64.0, 3.3, 0.0, 1.56, 0.35,
2016-07-16,A, 1,2016-07,AA,20 500,2016-07-08,2016-07-08,,2016-10-10,,A, 8,19 427,, 251,1 073, 5.23, 94.8, 210,, 35, 21,971, 0.2,,,, 0.04, 2.6,, 0.1, 75.0, 3.9, 0.0, 1.50, 0.43,
2016-07-17,A, 1,2016-07,AA,20 500,2016-07-08,2016-07-08,,2016-10-10,,A, 9,19 181,, 246,1 319, 6.43, 93.6, 250,, 40, 23,"1,112", 0.2,,,, 0.04, 3.0,, 0.1, 82.0, 4.3, 0.0, 1.42, 0.50,
